Hireling	*SubType	Version	Id	Class	Act	Difficulty	Level	Seller	NameFirst	NameLast	Gold	Exp/Lvl	HP	HP/Lvl	Defense	Def/Lvl	Str	Str/Lvl	Dex	Dex/Lvl	AR	AR/Lvl	Dmg-Min	Dmg-Max	Dmg/Lvl	ResistFire	ResistFire/Lvl	ResistCold	ResistCold/Lvl	ResistLightning	ResistLightning/Lvl	ResistPoison	ResistPoison/Lvl	HireDesc	DefaultChance	Skill1	Mode1	Chance1	ChancePerLvl1	Level1	LvlPerLvl1	*SubTypeNOTE	Skill2	Mode2	Chance2	ChancePerLvl2	Level2	LvlPerLvl2	Skill3	Mode3	Chance3	ChancePerLvl3	Level3	LvlPerLvl3	Skill4	Mode4	Chance4	ChancePerLvl4	Level4	LvlPerLvl4	Skill5	Mode5	Chance5	ChancePerLvl5	Level5	LvlPerLvl5	Skill6	Mode6	Chance6	ChancePerLvl6	Level6	LvlPerLvl6	HiringMaxLevelDifference	resurrectcostmultiplier	resurrectcostdivisor	resurrectcostmax	equivalentcharclass
Rogue Scout	Fire - Normal	0	0	271	1	1	3	150	merc01	merc41	100	100	45	8	15	6	35	10	45	16	10	10	1	3	2	0	8	0	8	0	8	0	8	strhirespecial1	75	Blessed Aim	1	10	0	3	7	Fire - Normal	Fire Arrow	4	60	0	1	10	Exploding Arrow	4	25	0	1	10	Dodge	1	0	0	5	0	Evade	1	0	0	5	0							5	15	2	50000	ama
Rogue Scout	Fire - Normal	0	0	271	1	1	25	150	merc01	merc41	100	100	221	13	147	12	63	10	89	16	230	20	7	9	4	44	7	44	7	44	7	44	7	strhirespecial1	75	Blessed Aim	1	10	0	11	7	Fire - Normal	Fire Arrow	4	60	0	12	10	Exploding Arrow	4	25	0	12	10	Dodge	1	0	0	5	0	Evade	1	0	0	5	0							5	15	2	50000	ama
Rogue Scout	Fire - Normal	0	0	271	1	1	49	150	merc01	merc41	100	100	533	25	435	18	93	10	137	16	710	30	19	21	6	86	5	86	5	86	5	86	5	strhirespecial1	75	Blessed Aim	1	10	0	18	0	Fire - Normal	Fire Arrow	4	60	0	22	10	Exploding Arrow	4	25	0	22	10	Dodge	1	0	0	5	0	Evade	1	0	0	5	0							5	15	2	50000	ama
Rogue Scout	Ice - Normal	0	1	271	1	1	3	150	merc01	merc41	150	105	45	8	15	6	35	10	45	16	10	10	1	3	2	0	8	0	8	0	8	0	8	strhirespecial2	75	Meditation	1	10	0	3	8	Ice - Normal	Cold Arrow	4	60	0	1	10	Freezing Arrow	4	25	0	1	10	Dodge	1	0	0	5	0	Evade	1	0	0	5	0							5	15	2	50000	ama
Rogue Scout	Ice - Normal	0	1	271	1	1	25	150	merc01	merc41	150	105	221	12	147	12	63	10	89	16	230	20	7	9	4	44	7	44	7	44	7	44	7	strhirespecial2	75	Meditation	1	10	0	12	8	Ice - Normal	Cold Arrow	4	60	0	12	10	Freezing Arrow	4	25	0	12	10	Dodge	1	0	0	5	0	Evade	1	0	0	5	0							5	15	2	50000	ama
Rogue Scout	Ice - Normal	0	1	271	1	1	49	150	merc01	merc41	150	105	509	16	435	18	93	10	137	16	710	30	19	21	6	86	5	86	5	86	5	86	5	strhirespecial2	75	Meditation	1	10	0	18	12	Ice - Normal	Cold Arrow	4	60	0	22	10	Freezing Arrow	4	25	0	22	10	Dodge	1	0	0	5	0	Evade	1	0	0	5	0							5	15	2	50000	ama
Rogue Scout	Fire - Nightmare	0	2	271	1	2	25	150	merc01	merc41	6000	110	199	12	132	12	60	10	84	16	207	20	6	8	4	41	7	41	7	41	7	41	7	strhirespecial1	75	Blessed Aim	1	10	0	11	7	Fire - Nightmare	Fire Arrow	4	60	0	12	10	Exploding Arrow	4	25	0	12	10	Dodge	1	0	0	5	0	Evade	1	0	0	5	0							5	15	2	50000	ama
Rogue Scout	Fire - Nightmare	0	2	271	1	2	49	150	merc01	merc41	6000	110	487	16	420	18	90	10	132	16	687	30	18	20	6	83	5	83	5	83	5	83	5	strhirespecial1	75	Blessed Aim	1	10	0	18	0	Fire - Nightmare	Fire Arrow	4	60	0	22	10	Exploding Arrow	4	25	0	22	10	Dodge	1	0	0	5	0	Evade	1	0	0	5	0							5	15	2	50000	ama
Rogue Scout	Ice - Nightmare	0	3	271	1	2	25	150	merc01	merc41	7500	115	199	12	132	12	60	10	84	16	207	20	6	8	4	41	7	41	7	41	7	41	7	strhirespecial2	75	Meditation	1	10	0	12	8	Ice - Nightmare	Cold Arrow	4	60	0	12	10	Freezing Arrow	4	25	0	12	10	Dodge	1	0	0	5	0	Evade	1	0	0	5	0							5	15	2	50000	ama
Rogue Scout	Ice - Nightmare	0	3	271	1	2	49	150	merc01	merc41	7500	115	487	16	420	18	90	10	132	16	687	30	18	20	6	83	5	83	5	83	5	83	5	strhirespecial2	75	Meditation	1	10	0	18	12	Ice - Nightmare	Cold Arrow	4	60	0	22	10	Freezing Arrow	4	25	0	22	10	Dodge	1	0	0	5	0	Evade	1	0	0	5	0							5	15	2	50000	ama
